Prompt,Comment,Time
"What did you eat for breakfast?","food",5/10/2023 5:48:43 PM
"What did you eat for dinner?","food",5/10/2023 5:48:51 PM
"What did you eat for dinner?","pizza",5/10/2023 8:48:57 PM
"Did you go anywhere?","work",5/10/2023 9:15:31 PM
"What did you eat for lunch?","dairy queen",5/10/2023 9:15:41 PM
"Did you do your scripture study?","no I did not",5/10/2023 10:04:53 PM
"Did you pray today?","yes",5/10/2023 10:27:43 PM
"Did you exercise today?","not particularly",5/10/2023 10:49:11 PM
"What did you like about your evening?","being with my wife",5/10/2023 10:53:36 PM
"Did you do your scripture study?","I need to ",5/10/2023 10:56:04 PM
